tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10749056044,null,Access Network,Frequent disconnection,Frequent disconnection,null,EQMT_MSAN fan faulty,null,MSAN fan replaced
1-10749056187,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10749063996,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10749133690,null,Customer,Silent  BTU,Silent  BTU,null,Clear While Localising,null,Advise Customer
1-10749141521,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,Power Adaptor Replaced
1-10749144434,null,Customer,Call Failure - incoming,Call Failure - incoming,null,Clear While Localising,null,Normalise_CPE Connection
1-10749202911,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10749203477,null,Customer,Call Failure – Incoming  & Outgoing Call,Call Failure – Incoming  & Outgoing Call,null,Other_Fault,null,Advise Customer
1-10749209839,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Copper,null,Advise Customer
1-10749209945,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10749213936,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10749246143,null,Customer,No Dial Tone,No Dial Tone,null,Customer_Cancel TT,null,Advise Customer
1-10749283311,null,Customer,Error_102004,Error_102004,null,Customer_Internal Wiring,null,Advise Customer
1-10749283463,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10749285716,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Internal Fiber,null,Int._Wiring Replaced/Repaired
1-10749302703,null,TM_CPE,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,TM_CPE_PG Faulty,null,PG_Config_Changed
1-10749324109,null,TM_CPE,Wireless frequent disconn.,Wireless frequent disconn.,null,TM_CPE_PG_Wireless Coverage,null,PG_Config_Changed
1-10749327214,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10749327395,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Hang,null,PG_Reset
1-10749382522,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Fiber Patch Cord,null,Patching_Opt Connct Replaced
1-10749391398,null,CLEAR WHILE LOCALISING,Line Disconnect,Line Disconnect,null,CWL USING END-END TESTING,null,CUST CONFIRM CCT UP&SATISFIED
1-10749400175,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise TMUC
1-10749449566,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem_Hang,null,VDSL_Config_Changed
1-10749481949,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise Customer
1-10749485883,null,BTU,Cannot browse all website,Cannot browse all website,null,ONU_Hang,null,ONU_Replaced
1-10749565448,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Hang,null,ONU_Reset
1-10749716002,null,BTU,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10749725040,null,Customer,Line Disconnect,Line Disconnect,null,PG_Faulty,null,Advise Customer
1-10749732218,null,Customer,Line Disconnect,Line Disconnect,null,Customer Wrong Configuration,null,Customer_Reconnect CPE
1-10749737839,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Copper,null,Advise Customer
1-10749738190,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10749738383,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10749746217,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10749783511,null,Major Outage,Missing channel,Missing channel,null,AccessNetwork_Failure,null,NTT_Resolved
1-10749791368,null,Customer,Frequent disconnection,Frequent disconnection,null,Clear While Localising,null,Advise Customer
1-10749802395,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10749839810,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10749840454,null,Access Network,Slow Browsing,Slow Browsing,null,*MSAN_ForceMajure,null,VLAN changed
1-10749885991,null,TM_CPE,Slow browsing all webs,Slow browsing all webs,null,TM_CPE_RG Wireless Signal Low,null,Change Wireless Channel Mode
1-10749915451,null,Customer,Intermittent,Intermittent,null,Clear While Localising,null,Advise Customer
1-10749920993,null,Major Outage,Live TV_Missing,Live TV_Missing,null,AccessNetwork_Failure,null,NTT_Resolved
1-10749958166,null,BTU,Intermittent,Intermittent,null,VDSL Modem Faulty,null,VDSL_Reset
1-10749958399,null,Major Outage,Lip Synch _Single Live TV,Lip Synch _Single Live TV,null,AccessNetwork_Failure,null,Problem_Restored
1-10750073501,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10750152014,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Fiber Patch Cord,null,Patching_Opt Connct Replaced
1-10750179002,null,Access Network,Line Disconnect,Line Disconnect,null,MSAN config.problem,null,VLAN changed
1-10750179287,null,Customer,No Dial Tone,No Dial Tone,null,Customer_Cancel TT,null,Advise Customer
1-10750186848,null,Major Outage,Line Disconnect,Line Disconnect,null,No Fault Found,null,Problem_Restored
1-10750187834,null,Access Network,Line Disconnect,Line Disconnect,null,MSAN_VDSL_Port_Inactive,null,Reset
1-10750188838,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10750189170,null,Customer,Slow Browsing,Slow Browsing,null,Customer_Cancel TT,null,Advise Customer
1-10750189242,null,Customer,Lip Synch_Live TV and VOD,Lip Synch_Live TV and VOD,null,Other_Fault,null,Advise Customer
1-10750257270,null,TM_CPE,Wireless not detected,Wireless not detected,null,TM_CPE_PG Hang,null,PG_Reset
1-10750309944,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10750310290,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10750489149,null,Access Network,Line Disconnect,Line Disconnect,null,Auto-Reset faulty,null,Auto-Reset replaced
1-10750512735,null,Customer,Wireless signal low,Wireless signal low,null,Clear While Localising,null,Advise Customer
1-10750513009,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise Customer
1-10750518885,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable replaced
1-10750540895,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW FWS,null,Connector_Replaced
1-10750559548,null,Customer,No Dial Tone,No Dial Tone,null,Dect_Phone_Faulty,null,Advise Customer
1-10750573781,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Others
1-10750602031,null,Customer,Blank Screen_All Channel,Blank Screen_All Channel,null,Clear While Localising,null,Advise Customer
1-10750640789,null,BTU,ME_Customer CPE prob,ME_Customer CPE prob,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10750645517,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Core Break,null,E/S Fiber cable restored
