,trouble_ticket_id,Cause_code,acc,account,acct,acknowledge,active,address,addressing,advice,advise,advised
394,1-WQ2B0B,TM_FTB FASC Connector Faulty,0,1,2,0,1,4,1,3,0,0
395,1-WPZ3PK,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
396,1-WPY86H,TM_CPE_PG Config Problem,0,4,1,0,1,2,1,1,0,1
397,1-WPYKUO,Clear While Localising,0,4,1,0,1,2,1,1,0,0
398,1-WPYKS8,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
399,1-WPX7T6,Cabinet/SDF Jumper Faulty,0,3,1,1,1,2,1,3,3,0
400,1-WPX2KI,TM_CPE_PG Faulty,0,1,1,0,0,2,0,2,0,0
401,1-WPU8GV,Cust_PhoneWallSocketFaulty,0,1,1,0,1,3,1,1,0,0
402,1-WPV6J6,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
403,1-WPV11X,TM_CPE_DectPhone Faulty,1,2,1,0,1,3,1,0,0,0
404,1-WPUGUI,TM_CPE_PG Faulty,0,1,2,0,1,4,1,3,0,0
405,1-WPSUPU,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
406,1-WPSC58,Clear While Localising,0,4,1,0,1,2,1,1,0,1
407,1-WPRCSQ,Customer_Behaviour,0,4,1,0,1,2,1,1,0,0
408,1-WPQ56W,Cabinet/SDF Jumper Faulty,0,2,1,0,1,2,1,1,0,2
409,1-WPQ2QY,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
410,1-WPQGDM,TM_CPE_DectPhone Faulty,0,1,1,0,0,2,0,2,0,0
411,1-WPNI9L,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
412,1-WPNKAR,TM_CPE_PG Faulty,0,1,1,0,1,2,1,3,0,0
413,1-WPJN02,TM_FTB FASC Connector Faulty,1,2,1,0,1,3,1,0,0,0
414,1-WPJDCT,Customer_Behaviour,0,1,2,0,1,4,1,3,0,0
415,1-WPFMMZ,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
416,1-WPD0UK,TM_FTB FASC Connector Faulty,0,4,1,0,1,2,1,1,0,1
